rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_ttvflag,pl_kepflag,pl_k2flag,ra_str,ra,dec_str,dec,st_dist,st_teff,st_mass,st_rad,rowupdate,pl_name,pl_rvamp,pl_eqt,pl_insol,pl_bmassprov,pl_bmassj,pl_bmasse,pl_dens,pl_radj,pl_rade,pl_rads,pl_def_reflink,pl_disc,pl_disc_reflink,pl_locale,pl_facility,pl_telescope,pl_instrument,st_rah,st_glon,st_glat,st_elon,st_elat,st_plx,st_radv,st_sp,st_spstr,st_age
1054,Kepler-1128,b,Transit,1,61.6178167,,,,0,1,0,19h32m15.20s,293.063338,+39d24m12.4s,39.403444,1163,5543,0.94,0.91,16/5/10,Kepler-1128 b,,,,,,,,0.326,3.65,0.033,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,2016,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.53755589,72.453142,9.649741,307.132611,59.90446,,,,,4.57
1055,Kepler-1129,b,Transit,2,24.3397804,,,,0,1,0,19h26m25.08s,291.604495,+41d18m33.7s,41.309361,1258,5831,1,1,16/5/10,Kepler-1129 b,,,,,,,,0.264,2.96,0.027,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,2016,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.44029967,73.675883,11.499975,306.179507,62.061891,,,,,4.07
1056,Kepler-1129,c,Transit,2,76.5369586,,,,0,1,0,19h26m25.08s,291.604495,+41d18m33.7s,41.309361,1258,5831,1,1,16/5/10,Kepler-1129 c,,,,,,,,0.244,2.73,0.025,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,2016,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.44029967,73.675883,11.499975,306.179507,62.061891,,,,,4.07
1057,Kepler-113,b,Transit,2,4.754,,,,0,1,0,19h11m59.49s,287.997883,+50d56m39.6s,50.944332,,4725,0.75,0.69,14/5/14,Kepler-113 b,5.4,,,Mass,0.037,11.7,10.73,0.162,1.82,0.017,<a href=http://adsabs.harvard.edu/abs/2014ApJS..210...20M target=ref> Marcy et al. 2014 </a>,2014,<a href=http://adsabs.harvard.edu/abs/2014ApJS..210...20M target=ref> Marcy et al. 2014 </a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.19985887,81.731929,17.689943,308.94222,71.956539,,,,,6.89
1058,Kepler-113,c,Transit,2,8.92507,,,,0,1,0,19h11m59.49s,287.997883,+50d56m39.6s,50.944332,,4725,0.75,0.69,16/10/13,Kepler-113 c,,,,,,,,0.194,2.18,0.02,<a href=http://adsabs.harvard.edu/abs/2014ApJS..210...20M target=ref> Marcy et al. 2014 </a>,2014,<a href=http://adsabs.harvard.edu/abs/2014ApJS..210...20M target=ref> Marcy et al. 2014 </a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.19985887,81.731929,17.689943,308.94222,71.956539,,,,,6.89
1059,Kepler-1130,b,Transit,1,5.45298175,,,,0,1,0,19h00m49.80s,285.207485,+45d23m03.7s,45.38435,234,5403,0.9,0.81,16/5/10,Kepler-1130 b,,,,,,,,0.071,0.8,0.007,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,2016,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.01383233,75.591339,17.396197,298.545854,67.322527,,,,,1.58
1060,Kepler-1131,b,Transit,1,3.53232449,,,,0,1,0,19h42m36.36s,295.651494,+49d15m40.7s,49.261295,1109,5851,1.03,1.04,16/5/10,Kepler-1131 b,,,,,,,,0.142,1.59,0.015,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,2016,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.7100996,82.244451,12.526883,319.845912,68.307242,,,,,4.17
1061,Kepler-1132,b,Transit,1,62.8916228,,,,0,1,0,19h05m28.19s,286.367463,+48d25m26.2s,48.423935,940,5298,0.87,0.83,16/5/10,Kepler-1132 b,,,,,,,,0.21,2.35,0.022,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,2016,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.0911642,78.864553,17.75659,303.123007,69.987589,,,,,4.57
1062,Kepler-1133,b,Transit,1,11.55562343,,,,0,1,0,19h33m17.38s,293.322404,+42d52m02.9s,42.86747,821,5569,0.93,0.9,16/5/10,Kepler-1133 b,,,,,,,,0.176,1.97,0.018,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,2016,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.55482693,75.677887,11.055085,309.911745,63.11153,,,,,4.07
1063,Kepler-1134,b,Transit,1,17.13263989,,,,0,1,0,19h42m16.32s,295.567982,+42d28m41.8s,42.478287,997,5281,0.84,0.81,16/5/10,Kepler-1134 b,,,,,,,,0.236,2.64,0.024,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,2016,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.70453211,76.105611,9.411916,312.962763,62.156966,,,,,4.9
1064,Kepler-1135,b,Transit,1,76.957857,,,,0,1,0,19h04m00.71s,286.002968,+44d45m23.7s,44.756592,728,5656,0.96,0.94,16/5/10,Kepler-1135 b,,,,,,,,0.165,1.85,0.017,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,2016,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.06686453,75.197396,16.642678,299.487901,66.56516,,,,,4.47
1065,Kepler-1136,b,Transit,1,2.36172433,,,,0,1,0,18h56m25.87s,284.107796,+44d14m44.9s,44.245808,545,4512,0.72,0.68,16/5/10,Kepler-1136 b,,,,,,,,0.146,1.64,0.015,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,2016,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,18.94051973,74.182744,17.714219,295.882429,66.422034,,,,,3.24
1066,Kepler-1137,b,Transit,1,23.9210791,,,,0,1,0,19h08m31.27s,287.130272,+48d39m55.3s,48.665375,971,6807,1.5,1.84,16/5/10,Kepler-1137 b,,,,,,,,0.196,2.2,0.02,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,2016,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.14201813,79.293281,17.374156,304.752132,70.045643,,,,,1.58
1067,Kepler-1138,b,Transit,1,3.17060005,,,,0,1,0,19h03m35.82s,285.899242,+48d18m26.3s,48.307301,1101,5582,0.95,0.92,16/5/10,Kepler-1138 b,,,,,,,,0.152,1.7,0.016,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,2016,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.05994947,78.633039,18.005236,302.152893,69.977651,,,,,4.37
1068,Kepler-1139,b,Transit,1,0.81316672,,,,0,1,0,19h11m46.95s,287.945617,+39d13m50.0s,39.230568,555,5550,0.94,0.91,16/5/10,Kepler-1139 b,,,,,,,,0.106,1.19,0.011,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,2016,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.19637447,70.531899,13.136305,299.343687,60.854479,,,,,4.47
1069,Kepler-114,b,Transit,3,5.188549,0.053,,,0,1,0,19h36m29.14s,294.121421,+48d20m58.3s,48.349525,,4605,0.56,0.67,14/5/14,Kepler-114 b,,,,,,,,0.112,1.26,0.012,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.60809473,80.944045,13.015052,316.329276,67.94561,,,,,
1070,Kepler-114,c,Transit,3,8.041,,,,1,1,0,19h36m29.14s,294.121421,+48d20m58.3s,48.349525,,4605,0.56,0.67,14/5/14,Kepler-114 c,,,,Mass,0.009,2.8,,0.143,1.6,0.015,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJS..210...25X target=ref>Xie 2014</a>,2013,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJS..210...25X target=ref>Xie 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.60809473,80.944045,13.015052,316.329276,67.94561,,,,,
1071,Kepler-114,d,Transit,3,11.776,,,,1,1,0,19h36m29.14s,294.121421,+48d20m58.3s,48.349525,,4605,0.56,0.67,14/5/14,Kepler-114 d,,,,Mass,0.012,3.9,,0.226,2.53,0.023,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJS..210...25X target=ref>Xie 2014</a>,2013,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJS..210...25X target=ref>Xie 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.60809473,80.944045,13.015052,316.329276,67.94561,,,,,
1072,Kepler-1140,b,Transit,1,24.0862707,,,,0,1,0,18h46m46.56s,281.693981,+46d56m47.2s,46.946449,657,4850,0.76,0.73,16/5/10,Kepler-1140 b,,,,,,,,0.247,2.77,0.025,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,2016,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,18.77959873,76.267575,20.215649,293.209855,69.445324,,,,,5.01
1073,Kepler-1141,b,Transit,1,2.34451194,,,,0,1,0,19h22m10.47s,290.543645,+47d43m33.2s,47.72588,365,5791,1.01,1.07,16/5/10,Kepler-1141 b,,,,,,,,0.073,0.82,0.008,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,2016,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.36957633,79.311783,14.912853,309.773359,68.34718,,,,,6.17
1074,Kepler-1142,b,Transit,1,18.3027248,,,,0,1,0,19h30m51.46s,292.714435,+44d04m56.4s,44.082336,697,5685,0.97,0.96,16/5/10,Kepler-1142 b,,,,,,,,0.131,1.47,0.013,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,2016,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.51429567,76.584749,11.993682,309.944527,64.403934,,,,,5.37
1075,Kepler-1143,b,Transit,2,2.88890485,,,,0,1,0,19h09m12.68s,287.302821,+39d17m22.9s,39.289688,632,5053,0.81,0.77,16/5/10,Kepler-1143 b,,,,,,,,0.149,1.67,0.015,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,2016,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.15352139,70.377043,13.614329,298.381058,61.035177,,,,,4.79
1076,Kepler-1143,c,Transit,2,210.630591,,,,0,1,0,19h09m12.68s,287.302821,+39d17m22.9s,39.289688,632,5053,0.81,0.77,16/5/10,Kepler-1143 c,,,,,,,,0.321,3.6,0.033,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,2016,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.15352139,70.377043,13.614329,298.381058,61.035177,,,,,4.79
1077,Kepler-1144,b,Transit,1,17.14647302,,,,0,1,0,19h20m10.39s,290.043293,+47d15m28.7s,47.257977,1012,5753,0.98,0.96,16/5/10,Kepler-1144 b,,,,,,,,0.178,1.99,0.018,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,2016,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.33621953,78.726961,15.031354,308.460523,68.03831,,,,,3.98
1078,Kepler-1145,b,Transit,1,3.97076766,,,,0,1,0,19h41m13.96s,295.308161,+43d02m39.9s,43.044415,714,5064,0.79,0.75,16/5/10,Kepler-1145 b,,,,,,,,0.125,1.4,0.013,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,2016,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.68721073,76.520001,9.847778,313.031795,62.753514,,,,,4.79
1079,Kepler-1146,b,Transit,1,2.3522658,,,,0,1,0,19h06m51.99s,286.716626,+47d25m32.3s,47.425633,694,4692,0.74,0.7,16/5/10,Kepler-1146 b,,,,,,,,0.11,1.23,0.011,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,2016,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.11444176,77.979597,17.174565,302.834351,68.967241,,,,,4.9
1080,Kepler-1147,b,Transit,1,10.62784997,,,,0,1,0,19h30m11.41s,292.547537,+41d38m34.6s,41.642956,1476,5941,1.09,1.14,16/5/10,Kepler-1147 b,,,,,,,,0.233,2.61,0.024,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,2016,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.50316913,74.300853,11.015412,307.838538,62.152197,,,,,3.8
1081,Kepler-1148,b,Transit,1,1.10446351,,,,0,1,0,19h23m48.85s,290.953557,+45d43m10.3s,45.719536,682,5054,0.81,0.77,16/5/10,Kepler-1148 b,,,,,,,,0.151,1.69,0.015,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,2016,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.3969038,77.547102,13.825579,308.541312,66.377441,,,,,4.57
1082,Kepler-1149,b,Transit,1,3.73089898,,,,0,1,0,19h36m45.42s,294.18926,+45d09m05.7s,45.151577,1023,5833,1.02,1.01,16/5/10,Kepler-1149 b,,,,,,,,0.128,1.44,0.013,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,2016,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.61261733,78.042043,11.535624,313.154478,65.007978,,,,,3.98
1083,Kepler-115,b,Transit,2,2.403679,0.036,,,0,1,0,19h50m50.84s,297.711849,+45d15m42.9s,45.261925,,5979,1,1.21,14/5/14,Kepler-115 b,,,,,,,,0.097,1.09,0.01,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.8474566,79.332611,9.400124,318.541886,64.103476,,,,,
1084,Kepler-115,c,Transit,2,8.990889,0.087,,,0,1,0,19h50m50.84s,297.711849,+45d15m42.9s,45.261925,,5979,1,1.21,14/5/14,Kepler-115 c,,,,,,,,0.232,2.6,0.024,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.8474566,79.332611,9.400124,318.541886,64.103476,,,,,
1085,Kepler-1150,b,Transit,1,2.78786839,,,,0,1,0,19h46m53.88s,296.724492,+49d31m57.8s,49.532715,373,4754,0.76,0.72,16/5/10,Kepler-1150 b,,,,,,,,0.091,1.02,0.009,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,2016,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.7816328,82.821623,12.033674,321.853528,68.21525,,,,,4.68
1086,Kepler-1151,b,Transit,1,65.6478424,,,,0,1,0,19h28m59.47s,292.247793,+47d52m42.4s,47.878452,763,5470,0.88,0.85,16/5/10,Kepler-1151 b,,,,,,,,0.198,2.22,0.02,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,2016,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.4831862,79.948156,13.936304,312.770719,68.040476,,,,,4.37
1087,Kepler-1152,b,Transit,1,1.64680191,,,,0,1,0,19h21m44.17s,290.434033,+44d06m27.5s,44.107651,184,3964,0.55,0.53,16/5/10,Kepler-1152 b,,,,,,,,0.078,0.87,0.008,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,2016,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.36226887,75.8829,13.481667,306.363812,64.988131,,,,,3.47
1088,Kepler-1153,b,Transit,1,1.75583533,,,,0,1,0,19h16m35.33s,289.147217,+45d51m58.2s,45.866181,1185,5470,0.91,0.88,16/5/10,Kepler-1153 b,,,,,,,,0.154,1.73,0.016,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,2016,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.27648117,77.150985,15.034116,305.683301,66.948691,,,,,4.57
1089,Kepler-1154,b,Transit,2,5.1856142,,,,0,1,0,19h49m54.51s,297.477127,+39d52m38.1s,39.877247,1531,6327,1.26,1.43,16/5/10,Kepler-1154 b,,,,,,,,0.209,2.34,0.021,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,2016,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.83180847,74.515892,6.891394,313.768913,59.211873,,,,,2.29
1090,Kepler-1154,c,Transit,2,8.45808312,,,,0,1,0,19h49m54.51s,297.477127,+39d52m38.1s,39.877247,1531,6327,1.26,1.43,16/5/10,Kepler-1154 c,,,,,,,,0.211,2.36,0.022,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,2016,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.83180847,74.515892,6.891394,313.768913,59.211873,,,,,2.29
1091,Kepler-1155,b,Transit,1,33.469743,,,,0,1,0,19h15m16.94s,288.820587,+39d31m22.2s,39.522827,987,5842,1.03,1.03,16/5/10,Kepler-1155 b,,,,,,,,0.181,2.03,0.019,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,2016,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.25470579,71.093915,12.643649,300.842768,60.962334,,,,,3.72
1092,Kepler-1156,b,Transit,1,11.89520511,,,,0,1,0,19h15m41.77s,288.924024,+46d03m27.5s,46.057632,759,5778,1,1,16/5/10,Kepler-1156 b,,,,,,,,0.118,1.32,0.012,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,2016,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.2616016,77.268552,15.252855,305.471438,67.180874,,,,,4.47
1093,Kepler-1157,b,Transit,1,4.45743164,,,,0,1,0,18h52m29.05s,283.121049,+43d31m32.3s,43.525642,346,4679,0.76,0.71,16/5/10,Kepler-1157 b,,,,,,,,0.097,1.09,0.01,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,2016,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,18.8747366,73.21032,18.124455,293.758327,65.886198,,,,,3.39
1094,Kepler-1158,b,Transit,1,13.5396293,,,,0,1,0,19h28m56.15s,292.233946,+41d34m30.8s,41.575213,1258,6203,1.41,1.95,16/5/10,Kepler-1158 b,,,,,,,,0.209,2.34,0.021,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,2016,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.48226307,74.132255,11.194841,307.316591,62.164188,,,,,2.88
1095,Kepler-1159,b,Transit,1,22.70816791,,,,0,1,0,19h37m03.92s,294.266335,+45d12m15.5s,45.204315,1238,6217,1.19,1.28,16/5/10,Kepler-1159 b,,,,,,,,0.211,2.37,0.022,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,2016,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.61775567,78.115202,11.511242,313.321416,65.035614,,,,,2.75
1096,Kepler-116,b,Transit,2,5.968734,0.069,,,0,1,0,19h38m58.10s,294.74207,+43d32m12.6s,43.536835,,6142,1.16,1.45,14/5/14,Kepler-116 b,,,,,,,,0.305,3.42,0.031,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.64947133,76.7663,10.442316,312.591024,63.363744,,,,,
1097,Kepler-116,c,Transit,2,13.07163,0.116,,,0,1,0,19h38m58.10s,294.74207,+43d32m12.6s,43.536835,,6142,1.16,1.45,14/5/14,Kepler-116 c,,,,,,,,0.205,2.3,0.021,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.64947133,76.7663,10.442316,312.591024,63.363744,,,,,
1098,Kepler-1160,b,Transit,1,7.97034958,,,,0,1,0,19h11m31.05s,287.879384,+43d21m50.7s,43.364075,1293,5519,0.92,0.89,16/5/10,Kepler-1160 b,,,,,,,,0.191,2.14,0.02,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,2016,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.19195893,74.403836,14.861214,301.680076,64.849184,,,,,4.57
1099,Kepler-1161,b,Transit,1,10.71252541,,,,0,1,0,19h56m18.50s,299.077103,+45d26m26.3s,45.44064,428,4253,0.59,0.57,16/5/10,Kepler-1161 b,,,,,,,,0.19,2.13,0.02,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,2016,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.93847354,79.971737,8.655793,320.690786,63.851064,,,,,3.39
1100,Kepler-1162,b,Transit,1,32.5637069,,,,0,1,0,18h53m10.11s,283.29213,+45d26m02.8s,45.434116,989,5390,0.89,0.84,16/5/10,Kepler-1162 b,,,,,,,,0.197,2.21,0.02,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,2016,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,18.886142,75.141382,18.671907,295.179432,67.714926,,,,,4.37
1101,Kepler-1163,b,Transit,1,6.11786898,,,,0,1,0,19h20m56.60s,290.235843,+50d01m48.3s,50.030087,487,6302,1.22,1.35,16/5/10,Kepler-1163 b,,,,,,,,0.092,1.03,0.009,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,2016,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.3490562,81.416162,16.025117,311.841071,70.543718,,,,,2.88
